#Time 	Sensor1         	Sensor2         	Target         
#================================================================

18      	-0.39, -15.66 	-1.69, -16.17 	7.93, 5.57
1153    	-0.37, -15.70 	-1.70, -16.16 	7.93, 5.57
1170    	-0.37, -15.70 	-1.71, -16.04 	7.93, 5.57
1187    	-0.37, -15.70 	-1.71, -16.12 	7.93, 5.57
1204    	-0.37, -15.70 	-1.70, -16.12 	7.93, 5.57
1221    	-0.37, -15.70 	-1.70, -16.17 	7.93, 5.57
1306    	-0.37, -15.70 	-1.70, -16.24 	7.93, 5.57
1324    	-0.35, -15.58 	-1.70, -16.24 	7.93, 5.57
1341    	-0.35, -15.58 	-1.73, -16.16 	7.93, 5.57
1378    	-0.35, -15.54 	-1.72, -16.20 	7.93, 5.57
1405    	-0.34, -15.71 	-1.72, -16.12 	7.93, 5.57
1421    	-0.34, -15.71 	-1.71, -16.16 	7.93, 5.57
1439    	-0.36, -15.71 	-1.71, -16.16 	7.93, 5.57
1467    	-0.36, -15.71 	-1.71, -16.16 	7.93, 5.57
1494    	-0.34, -15.70 	-1.71, -16.16 	7.93, 5.57
1577    	-0.35, -15.54 	-1.69, -16.16 	7.93, 5.57
1595    	-0.34, -15.71 	-1.71, -16.16 	7.93, 5.57
1612    	-0.34, -15.71 	-1.71, -16.16 	7.93, 5.57
1628    	-0.35, -15.54 	-1.69, -16.16 	7.93, 5.57
1645    	-0.34, -15.71 	-1.68, -16.28 	7.93, 5.57
1722    	-0.34, -15.71 	-1.71, -16.20 	7.93, 5.57
1748    	-0.34, -15.71 	-1.71, -16.20 	7.93, 5.57
1766    	-0.34, -15.71 	-1.71, -16.20 	7.93, 5.57
1782    	-0.34, -15.71 	-1.71, -16.20 	7.93, 5.57
1798    	-0.34, -15.71 	-1.72, -16.20 	7.93, 5.57
1814    	-0.34, -15.71 	-1.72, -16.24 	7.93, 5.57
1899    	-0.35, -15.58 	-1.72, -16.20 	7.93, 5.57
1916    	-0.35, -15.70 	-1.72, -16.25 	7.93, 5.57
1932    	-0.35, -15.58 	-1.72, -16.25 	7.93, 5.57
1948    	-0.35, -15.54 	-1.72, -16.25 	7.93, 5.57
1965    	-0.38, -15.58 	-1.72, -16.25 	7.93, 5.57
2047    	-0.40, -15.58 	-1.72, -16.25 	7.93, 5.57
2063    	-0.37, -15.70 	-1.72, -16.25 	7.93, 5.57
2085    	-0.37, -15.70 	-1.72, -16.25 	7.93, 5.57
2106    	-0.37, -15.70 	-1.71, -16.29 	7.93, 5.57
2122    	-0.37, -15.70 	-1.71, -16.29 	7.93, 5.57
2144    	-0.39, -15.70 	-1.71, -16.29 	7.93, 5.57
2226    	-0.37, -15.75 	-1.72, -16.28 	7.93, 5.57
2242    	-0.35, -15.70 	-1.72, -16.28 	7.93, 5.57
2269    	-0.37, -15.59 	-1.72, -16.28 	7.93, 5.57
2285    	-0.39, -15.59 	-1.71, -16.29 	7.93, 5.57
2353    	-0.39, -15.71 	-1.73, -16.20 	7.93, 5.57
2369    	-0.41, -15.59 	-1.73, -16.20 	7.93, 5.57
2386    	-0.41, -15.59 	-1.72, -16.29 	7.93, 5.57
2402    	-0.41, -15.59 	-1.72, -16.29 	7.93, 5.57
2418    	-0.42, -15.55 	-1.72, -16.13 	7.93, 5.57
2444    	-0.42, -15.55 	-1.71, -16.20 	7.93, 5.57
2533    	-0.39, -15.55 	-1.72, -16.21 	7.93, 5.57
2549    	-0.39, -15.68 	-1.72, -16.21 	7.93, 5.57
2566    	-0.39, -15.68 	-1.72, -16.21 	7.93, 5.57
2582    	-0.39, -15.68 	-1.71, -16.20 	7.93, 5.57
2607    	-0.39, -15.71 	-1.71, -16.20 	7.93, 5.57
2624    	-0.39, -15.68 	-1.71, -16.20 	7.93, 5.57
2703    	-0.39, -15.71 	-1.71, -16.20 	7.93, 5.57
2719    	-0.39, -15.71 	-1.72, -16.13 	7.93, 5.57
2741    	-0.38, -15.67 	-1.71, -16.20 	7.93, 5.57
2757    	-0.40, -15.71 	-1.71, -16.20 	7.93, 5.57
2774    	-0.39, -15.75 	-1.71, -16.20 	7.93, 5.57
2852    	-0.38, -15.64 	-1.71, -16.24 	7.93, 5.57
2868    	-0.39, -15.68 	-1.72, -16.12 	7.93, 5.57
2884    	-0.41, -15.64 	-1.71, -16.12 	7.93, 5.57
2900    	-0.40, -15.72 	-1.70, -16.13 	7.93, 5.57
2917    	-0.40, -15.64 	-1.70, -16.17 	7.93, 5.57
3000    	-0.41, -15.64 	-1.70, -16.13 	7.93, 5.57
3016    	-0.41, -15.52 	-1.69, -16.16 	7.93, 5.57
3032    	-0.41, -15.51 	-1.69, -16.16 	7.93, 5.57
3048    	-0.41, -15.64 	-1.69, -16.16 	7.93, 5.57
3064    	-0.41, -15.59 	-1.69, -16.16 	7.93, 5.57
3146    	-0.41, -15.51 	-1.71, -16.16 	7.93, 5.57
3162    	-0.40, -15.67 	-1.70, -16.20 	7.93, 5.57
3184    	-0.40, -15.67 	-1.70, -16.20 	7.93, 5.57
3200    	-0.39, -15.59 	-1.69, -16.20 	7.93, 5.57
3217    	-0.39, -15.59 	-1.69, -16.20 	7.93, 5.57
3319    	-0.40, -15.67 	-1.70, -16.28 	7.93, 5.57
3336    	-0.40, -15.67 	-1.70, -16.28 	7.93, 5.57
3352    	-0.40, -15.67 	-1.70, -16.16 	7.93, 5.57
3368    	-0.40, -15.67 	-1.70, -16.17 	7.93, 5.57
3384    	-0.41, -15.63 	-1.70, -16.17 	7.93, 5.57
3400    	-0.39, -15.54 	-1.70, -16.17 	7.93, 5.57
3416    	-0.38, -15.66 	-1.70, -16.17 	7.93, 5.57
3495    	-0.38, -15.79 	-1.70, -16.25 	7.93, 5.57
3512    	-0.37, -15.71 	-1.69, -16.24 	7.93, 5.57
3532    	-0.38, -15.78 	-1.69, -16.28 	7.93, 5.57
3548    	-0.40, -15.59 	-1.69, -16.25 	7.93, 5.57
3564    	-0.40, -15.67 	-1.69, -16.24 	7.93, 5.57
3644    	-0.40, -15.83 	-1.69, -16.25 	7.93, 5.57
3661    	-0.41, -15.68 	-1.71, -16.25 	7.93, 5.57
3677    	-0.46, -15.55 	-1.70, -16.29 	7.93, 5.57
3693    	-0.43, -15.66 	-1.71, -16.20 	7.93, 5.57
3709    	-0.44, -15.59 	-1.72, -16.24 	7.93, 5.57
3792    	-0.37, -15.54 	-1.71, -16.17 	7.93, 5.57
3815    	-0.40, -15.46 	-1.72, -16.13 	7.93, 5.57
3831    	-0.36, -15.50 	-1.72, -16.05 	7.93, 5.57
3887    	-0.41, -15.51 	-1.72, -16.36 	7.93, 5.57
3903    	-0.37, -15.77 	-1.72, -16.28 	7.93, 5.57
3928    	-0.35, -16.00 	-1.72, -16.40 	7.93, 5.57
3944    	-0.30, -15.97 	-1.73, -16.36 	7.93, 5.57
3961    	-0.27, -16.03 	-1.73, -16.36 	7.93, 5.57
4037    	-0.01, -14.74 	-1.73, -16.24 	7.93, 5.57
4053    	0.00, -14.84 	-1.74, -16.24 	7.93, 5.57
4069    	0.09, -13.73 	-1.75, -16.24 	7.93, 5.57
4085    	0.15, -13.39 	-1.75, -16.28 	7.93, 5.57
4101    	0.23, -13.10 	-1.75, -16.27 	7.93, 5.57
4192    	1.52, -4.13 	-1.75, -16.30 	7.93, 5.57
4208    	1.92, -8.75 	-1.76, -16.27 	7.93, 5.57
4225    	2.04, -8.03 	-1.74, -16.35 	7.93, 5.57
4241    	3.08, -7.71 	-1.74, -16.35 	7.93, 5.57
4257    	3.30, -6.66 	-1.73, -16.47 	7.93, 5.57
4273    	3.53, -6.32 	-1.73, -16.47 	7.93, 5.57
4355    	5.03, -3.75 	-1.75, -16.34 	7.93, 5.57
4372    	5.16, -2.97 	-1.75, -16.30 	7.93, 5.57
4388    	5.27, -2.89 	-1.74, -16.34 	7.93, 5.57
4405    	5.32, -2.85 	-1.74, -16.26 	7.93, 5.57
4482    	5.55, -1.96 	-1.73, -16.29 	7.93, 5.57
4498    	5.56, -2.05 	-1.73, -16.29 	7.93, 5.57
4514    	5.57, -2.17 	-1.73, -16.25 	7.93, 5.57
4530    	5.58, -2.18 	-1.73, -16.33 	7.93, 5.57
4546    	5.57, -2.18 	-1.75, -16.30 	7.93, 5.57
4623    	5.62, -2.39 	-1.77, -16.21 	7.93, 5.57
4640    	5.63, -2.44 	-1.77, -16.21 	7.93, 5.57
4656    	5.64, -2.48 	-1.77, -16.22 	7.93, 5.57
4672    	5.65, -2.48 	-1.77, -16.26 	7.93, 5.57
4688    	5.65, -2.43 	-1.77, -16.26 	7.93, 5.57
4771    	5.67, -2.26 	-1.75, -16.22 	7.93, 5.57
4788    	5.65, -2.26 	-1.75, -16.22 	7.93, 5.57
4804    	5.65, -2.22 	-1.75, -16.22 	7.93, 5.57
4820    	5.65, -2.22 	-1.75, -16.22 	7.93, 5.57
4836    	5.65, -2.22 	-1.75, -16.25 	7.93, 5.57
4927    	5.65, -2.22 	-1.76, -16.29 	7.93, 5.57
4943    	5.64, -2.18 	-1.76, -16.29 	7.93, 5.57
4959    	5.64, -2.18 	-1.76, -16.29 	7.93, 5.57
4975    	5.63, -2.14 	-1.76, -16.21 	7.93, 5.57
4992    	5.63, -2.18 	-1.75, -16.21 	7.93, 5.57
5078    	5.63, -2.11 	-1.75, -16.25 	7.93, 5.57
5094    	5.63, -2.06 	-1.75, -16.25 	7.93, 5.57
5110    	5.63, -2.06 	-1.75, -16.30 	7.93, 5.57
5126    	5.63, -2.06 	-1.75, -16.30 	7.93, 5.57
5143    	5.63, -2.06 	-1.75, -16.30 	7.93, 5.57
5223    	5.63, -2.10 	-1.73, -16.42 	7.93, 5.57
5239    	5.63, -2.06 	-1.74, -16.37 	7.93, 5.57
5255    	5.63, -2.06 	-1.74, -16.37 	7.93, 5.57
5271    	5.63, -2.06 	-1.74, -16.26 	7.93, 5.57
5287    	5.63, -2.10 	-1.73, -16.30 	7.93, 5.57
5363    	5.63, -2.06 	-1.73, -16.30 	7.93, 5.57
5380    	5.63, -2.06 	-1.73, -16.30 	7.93, 5.57
5396    	5.63, -2.02 	-1.73, -16.30 	7.93, 5.57
5413    	5.64, -2.02 	-1.73, -16.30 	7.93, 5.57
5429    	5.63, -2.02 	-1.75, -16.30 	7.93, 5.57
5512    	5.64, -2.03 	-1.76, -16.38 	7.93, 5.57
5529    	5.65, -2.07 	-1.76, -16.27 	7.93, 5.57
5549    	5.65, -2.11 	-1.75, -16.27 	7.93, 5.57
5565    	5.64, -2.11 	-1.75, -16.27 	7.93, 5.57
5581    	5.64, -2.07 	-1.75, -16.27 	7.93, 5.57
5661    	5.63, -2.02 	-1.74, -16.22 	7.93, 5.57
5678    	5.64, -2.03 	-1.74, -16.26 	7.93, 5.57
5694    	5.64, -2.06 	-1.74, -16.26 	7.93, 5.57
5711    	5.64, -2.06 	-1.73, -16.26 	7.93, 5.57
5727    	5.64, -2.06 	-1.74, -16.17 	7.93, 5.57
5810    	5.64, -2.03 	-1.73, -16.14 	7.93, 5.57
5833    	5.63, -2.02 	-1.72, -16.18 	7.93, 5.57
5849    	5.63, -2.02 	-1.72, -16.18 	7.93, 5.57
5905    	5.64, -2.02 	-1.73, -16.22 	7.93, 5.57
5921    	5.64, -2.02 	-1.73, -16.22 	7.93, 5.57
5937    	5.64, -2.02 	-1.75, -16.29 	7.93, 5.57
5953    	5.64, -2.02 	-1.75, -16.29 	7.93, 5.57
5969    	5.64, -2.02 	-1.74, -16.34 	7.93, 5.57
6046    	5.63, -2.03 	-1.75, -16.09 	7.93, 5.57
6063    	5.63, -2.02 	-1.74, -16.14 	7.93, 5.57
6079    	5.64, -2.02 	-1.74, -16.14 	7.93, 5.57
6096    	5.63, -2.03 	-1.74, -16.14 	7.93, 5.57
6174    	5.63, -2.02 	-1.74, -16.21 	7.93, 5.57
6190    	5.63, -2.02 	-1.74, -16.21 	7.93, 5.57
6206    	5.63, -2.02 	-1.73, -16.26 	7.93, 5.57
6222    	5.63, -2.02 	-1.74, -16.14 	7.93, 5.57
6239    	5.64, -2.03 	-1.76, -16.14 	7.93, 5.57
6322    	5.64, -2.02 	-1.74, -16.18 	7.93, 5.57
6338    	5.64, -2.02 	-1.74, -16.18 	7.93, 5.57
6354    	5.63, -2.02 	-1.74, -16.22 	7.93, 5.57
6370    	5.64, -2.02 	-1.74, -16.22 	7.93, 5.57
6397    	5.64, -2.02 	-1.75, -16.26 	7.93, 5.57
6413    	5.63, -2.06 	-1.75, -16.14 	7.93, 5.57
6493    	5.63, -2.06 	-1.75, -16.14 	7.93, 5.57
6510    	5.64, -2.06 	-1.75, -16.14 	7.93, 5.57
6530    	5.64, -2.02 	-1.75, -16.14 	7.93, 5.57
6546    	5.63, -2.02 	-1.74, -16.18 	7.93, 5.57
6562    	5.63, -2.02 	-1.75, -16.18 	7.93, 5.57
6641    	5.64, -2.02 	-1.72, -16.22 	7.93, 5.57
6658    	5.64, -2.07 	-1.73, -16.18 	7.93, 5.57
6674    	5.64, -2.06 	-1.73, -16.18 	7.93, 5.57
6690    	5.64, -2.02 	-1.73, -16.14 	7.93, 5.57
6766    	5.63, -2.03 	-1.74, -16.14 	7.93, 5.57
6783    	5.63, -2.03 	-1.75, -16.14 	7.93, 5.57
6799    	5.63, -2.03 	-1.75, -16.06 	7.93, 5.57
6815    	5.63, -2.03 	-1.75, -16.06 	7.93, 5.57
6831    	5.63, -2.03 	-1.75, -16.06 	7.93, 5.57
6907    	5.63, -2.02 	-1.73, -16.10 	7.93, 5.57
6924    	5.63, -2.02 	-1.73, -16.10 	7.93, 5.57
6940    	5.63, -2.02 	-1.76, -16.10 	7.93, 5.57
6956    	5.63, -2.02 	-1.76, -16.10 	7.93, 5.57
6972    	5.63, -2.02 	-1.76, -16.10 	7.93, 5.57
7055    	5.64, -2.02 	-1.74, -16.18 	7.93, 5.57
7071    	5.63, -2.06 	-1.74, -16.22 	7.93, 5.57
7087    	5.63, -2.02 	-1.76, -16.18 	7.93, 5.57
7103    	5.63, -2.02 	-1.76, -16.18 	7.93, 5.57
7181    	5.64, -2.06 	-1.74, -16.22 	7.93, 5.57
7196    	5.64, -2.06 	-1.74, -16.22 	7.93, 5.57
7220    	5.63, -2.02 	-1.74, -16.22 	7.93, 5.57
7236    	5.64, -2.06 	-1.74, -16.22 	7.93, 5.57
7252    	5.64, -2.02 	-1.74, -16.22 	7.93, 5.57
7334    	5.64, -2.02 	-1.74, -16.22 	7.93, 5.57
7350    	5.63, -2.06 	-1.74, -16.22 	7.93, 5.57
7365    	5.63, -2.06 	-1.73, -16.21 	7.93, 5.57
7380    	5.63, -2.06 	-1.76, -16.22 	7.93, 5.57
7457    	5.63, -2.06 	-1.75, -16.22 	7.93, 5.57
7473    	5.64, -2.06 	-1.73, -16.21 	7.93, 5.57
7489    	5.64, -2.06 	-1.73, -16.21 	7.93, 5.57
7513    	5.64, -2.06 	-1.73, -16.21 	7.93, 5.57
7528    	5.64, -2.06 	-1.73, -16.21 	7.93, 5.57
7543    	5.64, -2.06 	-1.73, -16.21 	7.93, 5.57
7621    	5.63, -2.06 	-1.76, -16.22 	7.93, 5.57
7637    	5.63, -2.06 	-1.75, -16.22 	7.93, 5.57
7653    	5.63, -2.06 	-1.75, -16.22 	7.93, 5.57
7669    	5.63, -2.06 	-1.75, -16.22 	7.93, 5.57
7747    	5.63, -2.06 	-1.75, -16.26 	7.93, 5.57
7762    	5.63, -2.06 	-94.27, 353.46 	7.93, 5.57
7777    	5.63, -2.06 	-1.75, -16.22 	7.93, 5.57
7835    	5.63, -2.06 	-1.75, -16.22 	7.93, 5.57
7851    	5.63, -2.06 	-1.75, -16.22 	7.93, 5.57
7866    	5.63, -2.06 	-1.76, -16.21 	7.93, 5.57
7881    	5.63, -2.06 	-1.76, -16.21 	7.93, 5.57
7896    	5.63, -2.06 	-1.75, -16.22 	7.93, 5.57
7976    	5.64, -2.02 	-1.75, -16.25 	7.93, 5.57
7992    	5.64, -2.02 	-1.75, -16.25 	7.93, 5.57
8008    	5.63, -2.02 	-1.75, -16.25 	7.93, 5.57
8024    	5.63, -2.02 	-1.75, -16.25 	7.93, 5.57
8102    	5.64, -2.02 	-1.75, -16.26 	7.93, 5.57
8118    	5.63, -2.06 	-1.76, -16.26 	7.93, 5.57
8134    	5.63, -2.02 	-1.76, -16.26 	7.93, 5.57
8149    	5.63, -2.02 	-94.26, 353.49 	7.93, 5.57
8164    	5.63, -1.97 	-1.76, -16.26 	7.93, 5.57
8243    	5.70, -2.00 	-1.78, -16.17 	7.93, 5.57
8259    	5.71, -1.81 	-1.77, -16.13 	7.93, 5.57
8275    	5.78, -1.02 	-1.77, -16.13 	7.93, 5.57
8291    	5.83, -0.75 	-1.77, -16.13 	7.93, 5.57
8369    	7.03, 1.10 	-1.75, -16.14 	7.93, 5.57
8384    	7.15, 2.05 	-1.76, -16.19 	7.93, 5.57
8399    	7.27, 2.35 	-1.76, -16.18 	7.93, 5.57
