#Time 	Sensor1         	Sensor2         	Target         
#================================================================

17      	-0.22, -14.67 	-3.28, -14.68 	-6.35, 1.41
3551    	-0.10, -14.47 	-7.88, -2.23 	-6.35, 1.41
3566    	-0.09, -14.47 	-7.88, -2.19 	-6.35, 1.41
3581    	-0.11, -14.51 	-7.88, -2.23 	-6.35, 1.41
3596    	-0.10, -14.47 	-7.88, -2.23 	-6.35, 1.41
3676    	-0.12, -14.47 	-7.87, -2.22 	-6.35, 1.41
3692    	-0.11, -14.39 	-7.88, -2.23 	-6.35, 1.41
3707    	-0.09, -14.38 	-7.88, -2.18 	-6.35, 1.41
3723    	-0.10, -14.38 	-7.87, -2.22 	-6.35, 1.41
3802    	-0.10, -14.50 	-7.87, -2.26 	-6.35, 1.41
3817    	-0.10, -14.50 	-112.07, 241.16 	-6.35, 1.41
3832    	-0.10, -14.50 	-7.86, -2.17 	-6.35, 1.41
3847    	-0.10, -14.50 	-7.86, -2.22 	-6.35, 1.41
3862    	-0.09, -14.46 	-7.86, -2.17 	-6.35, 1.41
3942    	-0.09, -14.55 	-7.86, -2.17 	-6.35, 1.41
3958    	-0.09, -14.54 	-7.86, -2.17 	-6.35, 1.41
3973    	-0.09, -14.58 	-7.86, -2.17 	-6.35, 1.41
3989    	-0.09, -14.58 	-7.86, -2.17 	-6.35, 1.41
4068    	-0.10, -14.66 	-7.86, -2.16 	-6.35, 1.41
4083    	-0.10, -14.66 	-7.86, -2.17 	-6.35, 1.41
4098    	-0.10, -14.58 	-7.86, -2.17 	-6.35, 1.41
4113    	-0.10, -14.58 	-7.86, -2.16 	-6.35, 1.41
4128    	-0.10, -14.58 	-7.86, -2.16 	-6.35, 1.41
4208    	-0.10, -14.58 	-7.86, -2.16 	-6.35, 1.41
4224    	-0.09, -14.62 	-7.85, -2.20 	-6.35, 1.41
4239    	-0.10, -14.59 	-7.86, -2.20 	-6.35, 1.41
4255    	-0.10, -14.58 	-7.86, -2.20 	-6.35, 1.41
4334    	-0.10, -14.58 	-112.00, 241.07 	-6.35, 1.41
4349    	-0.10, -14.58 	-7.85, -2.20 	-6.35, 1.41
4364    	-0.10, -14.58 	-7.85, -2.16 	-6.35, 1.41
4379    	-0.10, -14.58 	-7.86, -2.20 	-6.35, 1.41
4394    	-0.09, -14.62 	-7.86, -2.16 	-6.35, 1.41
4474    	-0.10, -14.63 	-7.86, -2.15 	-6.35, 1.41
4490    	-0.10, -14.63 	-7.86, -2.16 	-6.35, 1.41
4505    	-0.10, -14.63 	-111.84, 241.00 	-6.35, 1.41
4520    	-0.10, -14.63 	-7.86, -2.16 	-6.35, 1.41
4598    	-0.10, -14.63 	-7.85, -2.20 	-6.35, 1.41
4613    	-0.10, -14.63 	-7.85, -2.20 	-6.35, 1.41
4628    	-0.10, -14.63 	-7.85, -2.19 	-6.35, 1.41
4643    	-0.10, -14.63 	-7.85, -2.15 	-6.35, 1.41
4658    	-0.10, -14.63 	-7.86, -2.15 	-6.35, 1.41
4739    	-0.10, -14.67 	-7.86, -2.16 	-6.35, 1.41
4754    	-0.10, -14.67 	-7.85, -2.15 	-6.35, 1.41
4769    	-0.08, -14.66 	-7.86, -2.16 	-6.35, 1.41
4785    	-0.08, -14.66 	-7.86, -2.16 	-6.35, 1.41
4863    	-0.08, -14.66 	-7.85, -2.20 	-6.35, 1.41
4878    	-0.08, -14.66 	-7.86, -2.19 	-6.35, 1.41
4893    	-0.08, -14.67 	-7.86, -2.16 	-6.35, 1.41
4908    	-0.08, -14.67 	-111.81, 240.98 	-6.35, 1.41
4932    	-0.09, -14.58 	-7.86, -2.16 	-6.35, 1.41
5035    	-0.08, -14.66 	-7.85, -2.19 	-6.35, 1.41
5050    	-0.09, -14.65 	-7.85, -2.19 	-6.35, 1.41
5072    	-0.09, -14.65 	-7.85, -2.19 	-6.35, 1.41
5091    	-0.08, -14.66 	-7.85, -2.19 	-6.35, 1.41
5111    	-0.08, -14.65 	-7.86, -2.19 	-6.35, 1.41
5134    	-0.10, -14.62 	-7.85, -2.19 	-6.35, 1.41
5153    	-0.10, -14.62 	-7.85, -2.19 	-6.35, 1.41
5173    	-0.10, -14.66 	-7.85, -2.19 	-6.35, 1.41
5254    	-0.10, -14.63 	-7.86, -2.19 	-6.35, 1.41
5273    	-0.10, -14.63 	-7.86, -2.19 	-6.35, 1.41
5293    	-0.10, -14.63 	-7.86, -2.15 	-6.35, 1.41
5312    	-0.10, -14.66 	-7.86, -2.15 	-6.35, 1.41
5331    	-0.10, -14.66 	-7.85, -2.15 	-6.35, 1.41
5351    	-0.11, -14.58 	-7.85, -2.15 	-6.35, 1.41
5432    	-0.11, -14.54 	-7.85, -2.15 	-6.35, 1.41
5451    	-0.11, -14.54 	-7.85, -2.15 	-6.35, 1.41
5471    	-0.11, -14.54 	-7.85, -2.15 	-6.35, 1.41
5490    	-0.10, -14.63 	-7.86, -2.16 	-6.35, 1.41
5508    	-0.10, -14.63 	-7.86, -2.16 	-6.35, 1.41
5528    	-0.10, -14.63 	-7.86, -2.16 	-6.35, 1.41
5618    	-0.11, -14.54 	-7.85, -2.15 	-6.35, 1.41
5636    	-0.11, -14.54 	-7.86, -2.16 	-6.35, 1.41
5654    	-0.11, -14.54 	-7.86, -2.16 	-6.35, 1.41
5670    	-0.11, -14.54 	-7.86, -2.16 	-6.35, 1.41
5687    	-0.11, -14.54 	-7.85, -2.19 	-6.35, 1.41
5704    	-0.11, -14.54 	-7.86, -2.16 	-6.35, 1.41
5791    	-0.12, -14.55 	-7.85, -2.15 	-6.35, 1.41
5808    	-0.10, -14.54 	-7.85, -2.19 	-6.35, 1.41
5825    	-0.10, -14.54 	-7.85, -2.19 	-6.35, 1.41
5850    	-0.10, -14.51 	-7.85, -2.15 	-6.35, 1.41
5867    	-0.10, -14.51 	-7.85, -2.15 	-6.35, 1.41
5884    	-0.09, -14.47 	-7.85, -2.19 	-6.35, 1.41
5971    	-0.09, -14.63 	-7.85, -2.15 	-6.35, 1.41
5988    	-0.09, -14.63 	-7.86, -2.16 	-6.35, 1.41
6005    	-0.09, -14.63 	-7.86, -2.16 	-6.35, 1.41
6030    	-0.09, -14.63 	-7.85, -2.15 	-6.35, 1.41
6048    	-0.09, -14.63 	-7.85, -2.15 	-6.35, 1.41
6065    	-0.09, -14.63 	-7.85, -2.15 	-6.35, 1.41
6151    	-0.09, -14.59 	-7.85, -2.19 	-6.35, 1.41
6169    	-0.09, -14.59 	-7.85, -2.19 	-6.35, 1.41
6186    	-0.10, -14.58 	-7.85, -2.19 	-6.35, 1.41
6211    	-0.10, -14.58 	-7.85, -2.19 	-6.35, 1.41
6228    	-0.10, -14.58 	-7.86, -2.16 	-6.35, 1.41
6245    	-0.09, -14.59 	-7.85, -2.15 	-6.35, 1.41
6325    	-0.09, -14.59 	-7.85, -2.15 	-6.35, 1.41
6343    	-0.09, -14.59 	-7.85, -2.15 	-6.35, 1.41
6359    	-0.09, -14.59 	-7.85, -2.19 	-6.35, 1.41
6381    	-0.09, -14.59 	-7.85, -2.19 	-6.35, 1.41
6399    	-0.10, -14.55 	-7.85, -2.19 	-6.35, 1.41
6415    	-0.10, -14.55 	-7.86, -2.16 	-6.35, 1.41
6498    	-0.09, -14.55 	-7.85, -2.20 	-6.35, 1.41
6523    	-0.11, -14.55 	-7.86, -2.15 	-6.35, 1.41
6539    	-0.10, -14.55 	-7.86, -2.16 	-6.35, 1.41
6556    	-0.10, -14.55 	-7.85, -2.19 	-6.35, 1.41
6573    	-0.10, -14.55 	-7.85, -2.19 	-6.35, 1.41
6652    	-0.11, -14.54 	-7.86, -2.15 	-6.35, 1.41
6669    	-0.11, -14.54 	-7.85, -2.15 	-6.35, 1.41
6691    	-0.09, -14.54 	-7.85, -2.15 	-6.35, 1.41
6712    	-0.10, -14.55 	-7.85, -2.19 	-6.35, 1.41
6728    	-0.10, -14.63 	-7.85, -2.15 	-6.35, 1.41
6744    	-0.10, -14.63 	-7.85, -2.15 	-6.35, 1.41
6824    	-0.10, -14.51 	-7.85, -2.19 	-6.35, 1.41
6841    	-0.08, -14.50 	-7.86, -2.20 	-6.35, 1.41
6857    	-0.08, -14.50 	-7.85, -2.19 	-6.35, 1.41
6873    	-0.09, -14.55 	-7.85, -2.19 	-6.35, 1.41
6889    	-0.09, -14.55 	-7.85, -2.19 	-6.35, 1.41
6972    	-0.09, -14.47 	-7.85, -2.20 	-6.35, 1.41
6989    	-0.09, -14.46 	-7.85, -2.20 	-6.35, 1.41
7014    	-0.08, -14.46 	-7.85, -2.15 	-6.35, 1.41
7030    	-0.08, -14.50 	-7.85, -2.19 	-6.35, 1.41
7047    	-0.08, -14.50 	-7.85, -2.19 	-6.35, 1.41
7129    	-0.10, -14.51 	-7.85, -2.15 	-6.35, 1.41
7145    	-0.08, -14.51 	-7.86, -2.16 	-6.35, 1.41
7161    	-0.10, -14.51 	-7.86, -2.16 	-6.35, 1.41
7177    	-0.10, -14.51 	-7.85, -2.15 	-6.35, 1.41
7193    	-0.11, -14.51 	-7.85, -2.19 	-6.35, 1.41
7270    	-0.11, -14.43 	-7.86, -2.16 	-6.35, 1.41
7287    	-0.10, -14.47 	-7.86, -2.16 	-6.35, 1.41
7303    	-0.10, -14.47 	-7.86, -2.16 	-6.35, 1.41
7319    	-0.10, -14.47 	-7.86, -2.16 	-6.35, 1.41
7340    	-0.10, -14.47 	-7.86, -2.16 	-6.35, 1.41
7418    	-0.10, -14.55 	-7.86, -2.20 	-6.35, 1.41
7443    	-0.12, -14.50 	-7.86, -2.20 	-6.35, 1.41
7459    	-0.12, -14.51 	-7.86, -2.20 	-6.35, 1.41
7484    	-0.12, -14.51 	-7.86, -2.16 	-6.35, 1.41
7500    	-0.12, -14.51 	-7.86, -2.16 	-6.35, 1.41
7516    	-0.12, -14.51 	-7.86, -2.20 	-6.35, 1.41
7604    	-0.12, -14.46 	-7.86, -2.15 	-6.35, 1.41
7625    	-0.13, -14.50 	-7.85, -2.19 	-6.35, 1.41
7642    	-0.12, -14.42 	-7.86, -2.15 	-6.35, 1.41
7663    	-0.12, -14.55 	-7.86, -2.19 	-6.35, 1.41
7679    	-0.12, -14.42 	-7.86, -2.19 	-6.35, 1.41
7695    	-0.12, -14.42 	-7.86, -2.19 	-6.35, 1.41
7783    	-0.12, -14.46 	-7.85, -2.23 	-6.35, 1.41
7804    	-0.10, -14.46 	-7.86, -2.23 	-6.35, 1.41
7821    	-0.10, -14.46 	-7.85, -2.23 	-6.35, 1.41
7842    	-0.10, -14.46 	-7.85, -2.23 	-6.35, 1.41
7859    	-0.10, -14.46 	-7.85, -2.19 	-6.35, 1.41
7875    	-0.12, -14.46 	-7.86, -2.19 	-6.35, 1.41
7953    	-0.12, -14.46 	-7.86, -2.20 	-6.35, 1.41
7970    	-0.12, -14.46 	-7.86, -2.19 	-6.35, 1.41
7991    	-0.12, -14.46 	-7.86, -2.20 	-6.35, 1.41
8012    	-0.12, -14.50 	-7.86, -2.19 	-6.35, 1.41
8029    	-0.12, -14.50 	-7.86, -2.19 	-6.35, 1.41
8115    	-0.12, -14.50 	-7.85, -2.19 	-6.35, 1.41
8135    	-0.12, -14.46 	-7.86, -2.19 	-6.35, 1.41
8152    	-0.12, -14.46 	-7.86, -2.19 	-6.35, 1.41
8168    	-0.12, -14.46 	-7.86, -2.19 	-6.35, 1.41
8184    	-0.10, -14.46 	-7.85, -2.19 	-6.35, 1.41
8200    	-0.11, -14.54 	-7.86, -2.19 	-6.35, 1.41
8286    	-0.10, -14.58 	-7.86, -2.20 	-6.35, 1.41
8302    	-0.09, -14.54 	-7.86, -2.20 	-6.35, 1.41
8318    	-0.09, -14.54 	-7.86, -2.24 	-6.35, 1.41
8334    	-0.09, -14.54 	-7.86, -2.20 	-6.35, 1.41
8350    	-0.09, -14.54 	-7.86, -2.20 	-6.35, 1.41
8429    	-0.09, -14.58 	-7.86, -2.20 	-6.35, 1.41
8446    	-0.09, -14.58 	-7.85, -2.24 	-6.35, 1.41
8462    	-0.09, -14.58 	-7.86, -2.24 	-6.35, 1.41
8483    	-0.09, -14.58 	-7.86, -2.20 	-6.35, 1.41
8555    	-0.10, -14.46 	-7.86, -2.24 	-6.35, 1.41
8571    	-0.09, -14.46 	-7.85, -2.20 	-6.35, 1.41
8587    	-0.09, -14.46 	-7.86, -2.20 	-6.35, 1.41
8604    	-0.09, -14.58 	-7.86, -2.20 	-6.35, 1.41
8621    	-0.09, -14.58 	-7.86, -2.20 	-6.35, 1.41
8698    	-0.11, -14.58 	-7.86, -2.24 	-6.35, 1.41
8715    	-0.11, -14.58 	-7.86, -2.20 	-6.35, 1.41
8731    	-0.11, -14.58 	-7.86, -2.20 	-6.35, 1.41
8748    	-0.11, -14.58 	-7.86, -2.20 	-6.35, 1.41
8764    	-0.11, -14.58 	-7.86, -2.20 	-6.35, 1.41
8846    	-0.11, -14.50 	-7.86, -2.19 	-6.35, 1.41
8863    	-0.11, -14.50 	-7.85, -2.24 	-6.35, 1.41
8879    	-0.11, -14.50 	-7.85, -2.19 	-6.35, 1.41
8900    	-0.11, -14.50 	-7.86, -2.20 	-6.35, 1.41
8916    	-0.11, -14.50 	-7.86, -2.20 	-6.35, 1.41
8996    	-0.11, -14.50 	-7.85, -2.20 	-6.35, 1.41
9013    	-0.11, -14.59 	-7.86, -2.20 	-6.35, 1.41
9029    	-0.11, -14.58 	-7.86, -2.20 	-6.35, 1.41
9046    	-0.11, -14.50 	-7.86, -2.20 	-6.35, 1.41
9062    	-0.13, -14.51 	-7.86, -2.20 	-6.35, 1.41
9149    	-0.11, -14.62 	-7.86, -2.20 	-6.35, 1.41
9165    	-0.11, -14.58 	-7.86, -2.20 	-6.35, 1.41
9181    	-0.11, -14.58 	-7.86, -2.20 	-6.35, 1.41
9240    	-0.13, -14.59 	-7.86, -2.20 	-6.35, 1.41
9256    	-0.12, -14.58 	-7.86, -2.20 	-6.35, 1.41
9272    	-0.11, -14.58 	-7.86, -2.20 	-6.35, 1.41
9288    	-0.13, -14.59 	-7.86, -2.24 	-6.35, 1.41
9304    	-0.13, -14.59 	-7.86, -2.24 	-6.35, 1.41
9381    	-0.11, -14.58 	-7.86, -2.20 	-6.35, 1.41
9398    	-0.11, -14.54 	-7.86, -2.20 	-6.35, 1.41
9414    	-0.11, -14.54 	-7.86, -2.24 	-6.35, 1.41
9430    	-0.11, -14.54 	-7.85, -2.20 	-6.35, 1.41
9510    	-0.12, -14.50 	-7.86, -2.20 	-6.35, 1.41
9526    	-0.12, -14.50 	-7.85, -2.20 	-6.35, 1.41
9542    	-0.12, -14.50 	-7.85, -2.23 	-6.35, 1.41
9558    	-0.12, -14.50 	-7.85, -2.24 	-6.35, 1.41
9575    	-0.12, -14.50 	-7.86, -2.24 	-6.35, 1.41
9655    	-0.12, -14.62 	-7.86, -2.20 	-6.35, 1.41
9671    	-0.12, -14.62 	-7.86, -2.20 	-6.35, 1.41
9687    	-0.12, -14.62 	-7.86, -2.20 	-6.35, 1.41
9703    	-0.12, -14.62 	-7.86, -2.20 	-6.35, 1.41
9719    	-0.12, -14.62 	-7.86, -2.20 	-6.35, 1.41
9796    	-0.12, -14.62 	-7.87, -2.20 	-6.35, 1.41
9813    	-0.11, -14.58 	-7.87, -2.20 	-6.35, 1.41
9829    	-0.11, -14.58 	-7.86, -2.24 	-6.35, 1.41
9845    	-0.11, -14.58 	-7.86, -2.24 	-6.35, 1.41
9921    	-0.11, -14.58 	-7.87, -2.20 	-6.35, 1.41
9945    	-0.11, -14.58 	-7.86, -2.24 	-6.35, 1.41
9962    	-0.12, -14.62 	-7.86, -2.24 	-6.35, 1.41
9978    	-0.12, -14.62 	-7.86, -2.24 	-6.35, 1.41
9995    	-0.12, -14.62 	-7.86, -2.20 	-6.35, 1.41
10011   	-0.12, -14.62 	-7.86, -2.20 	-6.35, 1.41
10094   	-0.12, -14.62 	-7.86, -2.20 	-6.35, 1.41
10110   	-0.12, -14.62 	-7.87, -2.20 	-6.35, 1.41
10126   	-0.12, -14.50 	-7.87, -2.20 	-6.35, 1.41
10142   	-0.12, -14.50 	-7.86, -2.20 	-6.35, 1.41
10218   	-0.11, -14.55 	-7.86, -2.20 	-6.35, 1.41
10234   	-0.11, -14.55 	-7.86, -2.20 	-6.35, 1.41
10250   	-0.11, -14.55 	-7.86, -2.20 	-6.35, 1.41
10266   	-0.11, -14.54 	-7.87, -2.20 	-6.35, 1.41
10282   	-0.11, -14.54 	-7.87, -2.20 	-6.35, 1.41
10359   	-0.10, -14.58 	-7.87, -2.20 	-6.35, 1.41
10376   	-0.10, -14.58 	-7.87, -2.20 	-6.35, 1.41
10392   	-0.10, -14.58 	-7.87, -2.20 	-6.35, 1.41
10408   	-0.10, -14.58 	-7.86, -2.20 	-6.35, 1.41
10484   	-0.10, -14.50 	-7.87, -2.20 	-6.35, 1.41
10500   	-0.10, -14.50 	-7.87, -2.20 	-6.35, 1.41
10516   	-0.08, -14.54 	-7.87, -2.20 	-6.35, 1.41
10532   	-0.09, -14.53 	-7.87, -2.20 	-6.35, 1.41
10548   	-0.11, -14.42 	-7.87, -2.20 	-6.35, 1.41
10632   	-0.12, -14.46 	-7.87, -2.24 	-6.35, 1.41
10648   	-0.12, -14.46 	-7.86, -2.20 	-6.35, 1.41
10664   	-0.12, -14.45 	-7.87, -2.20 	-6.35, 1.41
10680   	-0.12, -14.46 	-7.87, -2.20 	-6.35, 1.41
10697   	-0.12, -14.46 	-7.87, -2.20 	-6.35, 1.41
10779   	-0.11, -14.46 	-7.87, -2.24 	-6.35, 1.41
10795   	-0.11, -14.46 	-7.86, -2.20 	-6.35, 1.41
10811   	-0.11, -14.46 	-7.87, -2.20 	-6.35, 1.41
10827   	-0.12, -14.42 	-7.87, -2.24 	-6.35, 1.41
10848   	-0.12, -14.42 	-7.87, -2.24 	-6.35, 1.41
10929   	-0.12, -14.42 	-7.87, -2.24 	-6.35, 1.41
10945   	-0.13, -14.38 	-7.87, -2.24 	-6.35, 1.41
10961   	-0.12, -14.43 	-7.87, -2.20 	-6.35, 1.41
11017   	-0.12, -14.51 	-7.87, -2.20 	-6.35, 1.41
11033   	-0.12, -14.51 	-7.87, -2.20 	-6.35, 1.41
11049   	-0.12, -14.51 	-7.87, -2.20 	-6.35, 1.41
11065   	-0.12, -14.66 	-7.87, -2.20 	-6.35, 1.41
11092   	-0.12, -14.59 	-7.87, -2.20 	-6.35, 1.41
11164   	-0.11, -14.54 	-7.87, -2.20 	-6.35, 1.41
11180   	-0.10, -14.54 	-7.87, -2.20 	-6.35, 1.41
11196   	-0.12, -14.50 	-7.87, -2.20 	-6.35, 1.41
11212   	-0.12, -14.50 	-7.87, -2.20 	-6.35, 1.41
11228   	-0.12, -14.50 	-7.87, -2.20 	-6.35, 1.41
11305   	-0.12, -14.50 	-7.87, -2.20 	-6.35, 1.41
11322   	-0.12, -14.50 	-7.87, -2.20 	-6.35, 1.41
11338   	-0.13, -14.50 	-7.87, -2.20 	-6.35, 1.41
11354   	-0.11, -14.50 	-7.87, -2.20 	-6.35, 1.41
11370   	-0.11, -14.50 	-7.87, -2.20 	-6.35, 1.41
