#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-0.09, -14.58 	-6.63, -10.86 	-4.76, -2.75
2512    	-0.10, -14.58 	-6.63, -10.74 	-4.76, -2.75
2527    	-0.10, -14.58 	-6.63, -10.74 	-4.76, -2.75
2542    	-0.10, -14.58 	-106.08, 310.30 	-4.76, -2.75
2622    	-0.10, -14.62 	-6.63, -10.74 	-4.76, -2.75
2638    	-0.10, -14.62 	-6.63, -10.74 	-4.76, -2.75
2653    	-0.10, -14.62 	-6.62, -10.74 	-4.76, -2.75
2718    	-0.09, -14.63 	-6.62, -10.70 	-4.76, -2.75
2733    	-0.10, -14.63 	-6.62, -10.70 	-4.76, -2.75
2748    	-0.10, -14.63 	-6.62, -10.70 	-4.76, -2.75
2763    	-0.10, -14.50 	-6.62, -10.70 	-4.76, -2.75
2778    	-0.10, -14.50 	-6.63, -10.70 	-4.76, -2.75
2859    	-0.11, -14.50 	-6.62, -10.70 	-4.76, -2.75
2875    	-0.11, -14.50 	-6.61, -10.70 	-4.76, -2.75
2890    	-0.10, -14.42 	-6.61, -10.74 	-4.76, -2.75
2906    	-0.10, -14.46 	-6.61, -10.74 	-4.76, -2.75
2985    	-0.09, -14.58 	-6.62, -10.74 	-4.76, -2.75
3000    	-0.09, -14.58 	-6.63, -10.66 	-4.76, -2.75
3015    	-0.09, -14.58 	-6.63, -10.66 	-4.76, -2.75
3030    	-0.09, -14.58 	-6.62, -10.66 	-4.76, -2.75
3103    	-0.10, -14.46 	-6.62, -10.66 	-4.76, -2.75
3118    	-0.10, -14.46 	-6.63, -10.66 	-4.76, -2.75
3133    	-0.10, -14.46 	-6.63, -10.74 	-4.76, -2.75
3148    	-0.10, -14.46 	-6.63, -10.73 	-4.76, -2.75
3163    	-0.10, -14.50 	-106.04, 310.28 	-4.76, -2.75
3243    	-0.09, -14.58 	-6.64, -10.66 	-4.76, -2.75
3259    	-0.09, -14.58 	-6.64, -10.66 	-4.76, -2.75
3274    	-0.09, -14.58 	-6.63, -10.70 	-4.76, -2.75
3290    	-0.10, -14.58 	-6.63, -10.70 	-4.76, -2.75
3369    	-0.10, -14.50 	-6.62, -10.78 	-4.76, -2.75
3384    	-0.10, -14.50 	-105.99, 310.29 	-4.76, -2.75
3399    	-0.10, -14.50 	-6.63, -10.74 	-4.76, -2.75
3415    	-0.10, -14.46 	-6.63, -10.74 	-4.76, -2.75
3488    	-0.10, -14.46 	-6.61, -10.82 	-4.76, -2.75
3503    	-0.10, -14.46 	-6.62, -10.82 	-4.76, -2.75
3518    	-0.10, -14.46 	-6.62, -10.82 	-4.76, -2.75
3533    	-0.10, -14.46 	-6.62, -10.82 	-4.76, -2.75
3548    	-0.11, -14.50 	-6.62, -10.78 	-4.76, -2.75
3628    	-0.10, -14.50 	-6.62, -10.82 	-4.76, -2.75
3644    	-0.10, -14.46 	-6.62, -10.70 	-4.76, -2.75
3659    	-0.10, -14.46 	-6.63, -10.74 	-4.76, -2.75
3675    	-0.10, -14.46 	-6.63, -10.74 	-4.76, -2.75
3754    	-0.10, -14.38 	-6.62, -10.74 	-4.76, -2.75
3769    	-0.10, -14.42 	-6.62, -10.74 	-4.76, -2.75
3784    	-0.10, -14.46 	-6.63, -10.74 	-4.76, -2.75
3799    	-0.10, -14.46 	-6.63, -10.74 	-4.76, -2.75
3814    	-0.09, -14.50 	-105.86, 310.30 	-4.76, -2.75
3894    	-0.10, -14.49 	-6.63, -10.77 	-4.76, -2.75
3914    	-0.09, -14.50 	-6.66, -11.69 	-4.76, -2.75
3929    	-0.09, -14.50 	-6.66, -13.02 	-4.76, -2.75
3945    	-0.09, -14.37 	-105.92, 300.30 	-4.76, -2.75
4020    	-0.09, -14.34 	-6.31, -22.23 	-4.76, -2.75
4035    	-0.09, -14.34 	-6.29, -22.24 	-4.76, -2.75
4054    	-0.09, -14.34 	-6.28, -22.46 	-4.76, -2.75
4069    	-0.09, -14.46 	-6.28, -22.57 	-4.76, -2.75
4084    	-0.09, -14.34 	-6.28, -22.41 	-4.76, -2.75
4163    	-0.09, -14.38 	-6.31, -20.73 	-4.76, -2.75
4181    	-0.11, -14.38 	-6.55, -12.44 	-4.76, -2.75
4199    	-0.09, -14.38 	-6.58, -10.57 	-4.76, -2.75
4218    	-0.08, -14.46 	-6.60, -9.60 	-4.76, -2.75
4238    	-0.08, -14.46 	-6.56, -10.44 	-4.76, -2.75
4319    	-0.08, -14.61 	-6.68, -10.84 	-4.76, -2.75
4338    	-0.07, -14.62 	-6.68, -10.65 	-4.76, -2.75
4358    	-0.07, -14.62 	-6.68, -10.65 	-4.76, -2.75
4377    	-0.08, -14.61 	-6.68, -10.72 	-4.76, -2.75
4396    	-0.08, -14.61 	-6.68, -10.72 	-4.76, -2.75
4416    	-0.08, -14.62 	-6.69, -10.72 	-4.76, -2.75
4498    	-0.08, -14.58 	-6.69, -10.72 	-4.76, -2.75
4517    	-0.08, -14.58 	-6.69, -10.64 	-4.76, -2.75
4537    	-0.10, -14.50 	-6.69, -10.64 	-4.76, -2.75
4556    	-0.10, -14.50 	-6.69, -10.60 	-4.76, -2.75
4575    	-0.10, -14.50 	-6.69, -10.60 	-4.76, -2.75
4595    	-0.10, -14.50 	-6.69, -10.60 	-4.76, -2.75
4685    	-0.09, -14.58 	-6.69, -10.68 	-4.76, -2.75
4703    	-0.08, -14.66 	-6.69, -10.68 	-4.76, -2.75
4722    	-0.08, -14.66 	-6.69, -10.68 	-4.76, -2.75
4740    	-0.09, -14.66 	-6.69, -10.69 	-4.76, -2.75
4758    	-0.09, -14.62 	-6.69, -10.69 	-4.76, -2.75
4775    	-0.09, -14.62 	-6.69, -10.73 	-4.76, -2.75
4791    	-0.09, -14.66 	-6.69, -10.72 	-4.76, -2.75
4875    	-0.10, -14.62 	-6.69, -10.73 	-4.76, -2.75
4893    	-0.11, -14.57 	-6.69, -10.73 	-4.76, -2.75
4909    	-0.11, -14.57 	-6.69, -10.73 	-4.76, -2.75
4926    	-0.11, -14.57 	-6.69, -10.73 	-4.76, -2.75
4942    	-0.11, -14.57 	-6.69, -10.73 	-4.76, -2.75
5022    	-0.09, -14.58 	-6.69, -10.69 	-4.76, -2.75
5039    	-0.09, -14.58 	-6.69, -10.69 	-4.76, -2.75
5064    	-0.09, -14.54 	-6.69, -10.69 	-4.76, -2.75
5081    	-0.09, -14.54 	-6.69, -10.69 	-4.76, -2.75
5098    	-0.09, -14.54 	-6.69, -10.69 	-4.76, -2.75
5178    	-0.09, -14.54 	-6.69, -10.69 	-4.76, -2.75
5194    	-0.09, -14.54 	-6.69, -10.69 	-4.76, -2.75
5216    	-0.09, -14.54 	-6.68, -10.73 	-4.76, -2.75
5237    	-0.09, -14.54 	-6.68, -10.73 	-4.76, -2.75
5254    	-0.09, -14.54 	-6.68, -10.73 	-4.76, -2.75
5270    	-0.09, -14.54 	-6.68, -10.73 	-4.76, -2.75
5360    	-0.09, -14.54 	-6.68, -10.73 	-4.76, -2.75
5377    	-0.09, -14.54 	-6.68, -10.73 	-4.76, -2.75
5393    	-0.09, -14.54 	-6.68, -10.73 	-4.76, -2.75
5409    	-0.09, -14.54 	-6.68, -10.73 	-4.76, -2.75
5426    	-0.10, -14.54 	-6.68, -10.77 	-4.76, -2.75
5511    	-0.10, -14.54 	-6.68, -10.77 	-4.76, -2.75
5528    	-0.10, -14.54 	-6.68, -10.81 	-4.76, -2.75
5545    	-0.10, -14.54 	-6.68, -10.77 	-4.76, -2.75
5561    	-0.10, -14.54 	-6.67, -10.73 	-4.76, -2.75
5578    	-0.10, -14.50 	-6.68, -10.73 	-4.76, -2.75
5660    	-0.10, -14.50 	-6.68, -10.77 	-4.76, -2.75
5681    	-0.10, -14.50 	-6.68, -10.77 	-4.76, -2.75
5698    	-0.10, -14.50 	-6.68, -10.77 	-4.76, -2.75
5719    	-0.09, -14.62 	-6.68, -10.77 	-4.76, -2.75
5736    	-0.09, -14.62 	-6.70, -10.77 	-4.76, -2.75
5753    	-0.09, -14.62 	-6.70, -10.73 	-4.76, -2.75
5845    	-0.09, -14.57 	-6.69, -10.73 	-4.76, -2.75
5861    	-0.09, -14.57 	-6.69, -10.73 	-4.76, -2.75
5878    	-0.09, -14.57 	-6.69, -10.73 	-4.76, -2.75
5899    	-0.09, -14.57 	-6.69, -10.73 	-4.76, -2.75
5915    	-0.09, -14.57 	-6.69, -10.73 	-4.76, -2.75
5931    	-0.09, -14.57 	-6.69, -10.77 	-4.76, -2.75
6008    	-0.08, -14.50 	-6.69, -10.73 	-4.76, -2.75
6025    	-0.09, -14.53 	-6.69, -10.73 	-4.76, -2.75
6050    	-0.09, -14.46 	-6.69, -10.73 	-4.76, -2.75
6066    	-0.09, -14.46 	-6.68, -10.69 	-4.76, -2.75
6083    	-0.09, -14.46 	-6.68, -10.69 	-4.76, -2.75
6164    	-0.09, -14.58 	-6.68, -10.69 	-4.76, -2.75
6180    	-0.09, -14.58 	-6.68, -10.69 	-4.76, -2.75
6196    	-0.09, -14.58 	-6.69, -10.69 	-4.76, -2.75
6212    	-0.09, -14.58 	-6.69, -10.69 	-4.76, -2.75
6228    	-0.09, -14.58 	-6.69, -10.69 	-4.76, -2.75
6314    	-0.08, -14.62 	-6.69, -10.69 	-4.76, -2.75
6330    	-0.08, -14.58 	-6.69, -10.69 	-4.76, -2.75
6346    	-0.08, -14.58 	-6.70, -10.65 	-4.76, -2.75
6363    	-0.09, -14.58 	-6.70, -10.65 	-4.76, -2.75
6380    	-0.09, -14.50 	-6.69, -10.69 	-4.76, -2.75
6466    	-0.09, -14.50 	-6.69, -10.77 	-4.76, -2.75
6482    	-0.09, -14.55 	-6.68, -10.77 	-4.76, -2.75
6499    	-0.08, -14.59 	-6.68, -10.77 	-4.76, -2.75
6515    	-0.08, -14.59 	-6.69, -10.73 	-4.76, -2.75
6540    	-0.08, -14.59 	-6.69, -10.73 	-4.76, -2.75
6556    	-0.08, -14.59 	-6.69, -10.73 	-4.76, -2.75
6642    	-0.08, -14.58 	-6.68, -10.77 	-4.76, -2.75
6663    	-0.08, -14.58 	-6.68, -10.69 	-4.76, -2.75
6680    	-0.08, -14.58 	-6.68, -10.69 	-4.76, -2.75
6701    	-0.08, -14.58 	-6.69, -10.69 	-4.76, -2.75
6717    	-0.09, -14.54 	-6.69, -10.69 	-4.76, -2.75
6733    	-0.09, -14.54 	-6.69, -10.69 	-4.76, -2.75
6811    	-0.09, -14.66 	-6.68, -10.69 	-4.76, -2.75
6828    	-0.08, -14.67 	-6.68, -10.69 	-4.76, -2.75
6849    	-0.08, -14.67 	-6.69, -10.69 	-4.76, -2.75
6870    	-0.08, -14.62 	-6.69, -10.65 	-4.76, -2.75
6887    	-0.09, -14.54 	-6.68, -10.65 	-4.76, -2.75
6967    	-0.08, -14.58 	-6.69, -10.65 	-4.76, -2.75
6983    	-0.08, -14.58 	-6.69, -10.65 	-4.76, -2.75
6999    	-0.08, -14.58 	-6.69, -10.65 	-4.76, -2.75
7015    	-0.08, -14.58 	-6.69, -10.65 	-4.76, -2.75
7031    	-0.08, -14.46 	-6.69, -10.65 	-4.76, -2.75
7108    	-0.09, -14.46 	-6.69, -10.65 	-4.76, -2.75
7125    	-0.09, -14.46 	-6.69, -10.65 	-4.76, -2.75
7141    	-0.08, -14.58 	-6.69, -10.65 	-4.76, -2.75
7157    	-0.08, -14.58 	-6.69, -10.69 	-4.76, -2.75
7178    	-0.09, -14.54 	-6.69, -10.69 	-4.76, -2.75
7256    	-0.08, -14.58 	-6.68, -10.73 	-4.76, -2.75
7273    	-0.08, -14.58 	-6.69, -10.73 	-4.76, -2.75
7289    	-0.08, -14.58 	-6.69, -10.73 	-4.76, -2.75
7352    	-0.08, -14.58 	-6.69, -10.73 	-4.76, -2.75
7368    	-0.08, -14.58 	-6.69, -10.73 	-4.76, -2.75
7384    	-0.08, -14.58 	-6.69, -10.69 	-4.76, -2.75
7400    	-0.08, -14.58 	-6.69, -10.69 	-4.76, -2.75
7421    	-0.08, -14.58 	-6.69, -10.69 	-4.76, -2.75
7509    	-0.09, -14.58 	-6.69, -10.69 	-4.76, -2.75
7525    	-0.09, -14.58 	-6.69, -10.74 	-4.76, -2.75
7542    	-0.09, -14.58 	-6.69, -10.74 	-4.76, -2.75
7558    	-0.08, -14.62 	-6.68, -10.73 	-4.76, -2.75
7575    	-0.08, -14.62 	-6.68, -10.73 	-4.76, -2.75
7591    	-0.08, -14.62 	-6.68, -10.73 	-4.76, -2.75
7683    	-0.08, -14.66 	-6.68, -10.73 	-4.76, -2.75
7699    	-0.08, -14.70 	-6.69, -10.73 	-4.76, -2.75
7715    	-0.08, -14.70 	-6.68, -10.73 	-4.76, -2.75
7731    	-0.08, -14.58 	-6.68, -10.73 	-4.76, -2.75
7756    	-0.08, -14.58 	-6.69, -10.73 	-4.76, -2.75
7772    	-0.08, -14.58 	-6.69, -10.73 	-4.76, -2.75
7852    	-0.09, -14.66 	-6.69, -10.70 	-4.76, -2.75
7869    	-0.08, -14.62 	-6.68, -10.66 	-4.76, -2.75
7885    	-0.09, -14.62 	-6.68, -10.66 	-4.76, -2.75
7902    	-0.09, -14.62 	-6.68, -10.66 	-4.76, -2.75
7918    	-0.09, -14.62 	-6.68, -10.66 	-4.76, -2.75
8000    	-0.10, -14.66 	-6.68, -10.66 	-4.76, -2.75
8017    	-0.10, -14.66 	-6.68, -10.66 	-4.76, -2.75
8037    	-0.10, -14.66 	-6.68, -10.66 	-4.76, -2.75
8053    	-0.10, -14.66 	-6.68, -10.66 	-4.76, -2.75
8069    	-0.10, -14.66 	-6.68, -10.65 	-4.76, -2.75
8148    	-0.08, -14.70 	-6.68, -10.61 	-4.76, -2.75
8165    	-0.08, -14.70 	-6.68, -10.61 	-4.76, -2.75
8181    	-0.08, -14.70 	-6.68, -10.61 	-4.76, -2.75
8197    	-0.08, -14.70 	-6.67, -10.69 	-4.76, -2.75
8213    	-0.08, -14.70 	-6.67, -10.69 	-4.76, -2.75
8295    	-0.07, -14.74 	-6.68, -10.61 	-4.76, -2.75
8312    	-0.08, -14.62 	-6.68, -10.61 	-4.76, -2.75
8332    	-0.08, -14.58 	-6.68, -10.61 	-4.76, -2.75
8348    	-0.08, -14.58 	-6.68, -10.61 	-4.76, -2.75
8364    	-0.08, -14.61 	-6.68, -10.61 	-4.76, -2.75
8452    	-0.08, -14.58 	-6.66, -10.65 	-4.76, -2.75
8468    	-0.08, -14.62 	-6.68, -10.65 	-4.76, -2.75
8484    	-0.08, -14.62 	-6.68, -10.61 	-4.76, -2.75
8500    	-0.08, -14.62 	-6.68, -10.61 	-4.76, -2.75
8517    	-0.08, -14.62 	-6.68, -10.61 	-4.76, -2.75
8622    	-0.07, -14.74 	-6.68, -10.65 	-4.76, -2.75
8639    	-0.07, -14.73 	-6.68, -10.65 	-4.76, -2.75
8655    	-0.07, -14.73 	-6.68, -10.65 	-4.76, -2.75
8671    	-0.08, -14.70 	-6.68, -10.65 	-4.76, -2.75
8686    	-0.08, -14.70 	-106.05, 309.05 	-4.76, -2.75
8702    	-0.08, -14.66 	-6.69, -10.65 	-4.76, -2.75
8718    	-0.08, -14.67 	-6.69, -10.65 	-4.76, -2.75
8803    	-0.08, -14.67 	-6.68, -10.73 	-4.76, -2.75
8820    	-0.08, -14.67 	-6.68, -10.73 	-4.76, -2.75
8836    	-0.08, -14.66 	-6.68, -10.73 	-4.76, -2.75
8894    	-0.08, -14.70 	-106.03, 309.01 	-4.76, -2.75
8910    	-0.08, -14.70 	-6.67, -10.72 	-4.76, -2.75
8926    	-0.08, -14.70 	-6.67, -10.73 	-4.76, -2.75
8942    	-0.08, -14.70 	-6.68, -10.73 	-4.76, -2.75
8959    	-0.08, -14.70 	-6.68, -10.69 	-4.76, -2.75
9042    	-0.07, -14.66 	-6.68, -10.73 	-4.76, -2.75
9058    	-0.08, -14.62 	-6.68, -10.73 	-4.76, -2.75
9074    	-0.08, -14.62 	-6.67, -10.73 	-4.76, -2.75
9095    	-0.08, -14.62 	-6.67, -10.72 	-4.76, -2.75
9112    	-0.08, -14.62 	-6.67, -10.69 	-4.76, -2.75
9191    	-0.08, -14.62 	-6.66, -10.77 	-4.76, -2.75
9207    	-0.08, -14.62 	-6.66, -10.77 	-4.76, -2.75
9223    	-0.08, -14.62 	-6.67, -10.73 	-4.76, -2.75
9240    	-0.07, -14.54 	-6.66, -10.73 	-4.76, -2.75
9256    	-0.07, -14.54 	-6.66, -10.73 	-4.76, -2.75
9339    	-0.07, -14.66 	-6.66, -10.77 	-4.76, -2.75
9355    	-0.08, -14.62 	-6.66, -10.77 	-4.76, -2.75
9371    	-0.07, -14.58 	-6.66, -10.77 	-4.76, -2.75
9387    	-0.09, -14.58 	-6.68, -10.77 	-4.76, -2.75
9404    	-0.09, -14.58 	-6.68, -10.77 	-4.76, -2.75
9487    	-0.09, -14.58 	-6.67, -10.73 	-4.76, -2.75
9511    	-0.07, -14.58 	-6.67, -10.73 	-4.76, -2.75
9528    	-0.09, -14.55 	-6.66, -10.77 	-4.76, -2.75
9544    	-0.09, -14.54 	-6.68, -10.77 	-4.76, -2.75
9560    	-0.10, -14.51 	-6.67, -10.73 	-4.76, -2.75
9576    	-0.10, -14.51 	-6.67, -10.73 	-4.76, -2.75
9662    	-0.08, -14.50 	-6.68, -10.73 	-4.76, -2.75
9678    	-0.08, -14.50 	-6.68, -10.73 	-4.76, -2.75
9694    	-0.08, -14.50 	-6.68, -10.73 	-4.76, -2.75
9710    	-0.08, -14.50 	-6.67, -10.73 	-4.76, -2.75
9726    	-0.08, -14.50 	-6.67, -10.73 	-4.76, -2.75
9805    	-0.08, -14.46 	-6.67, -10.73 	-4.76, -2.75
9822    	-0.08, -14.50 	-6.67, -10.73 	-4.76, -2.75
9838    	-0.08, -14.47 	-6.67, -10.77 	-4.76, -2.75
9854    	-0.08, -14.50 	-6.68, -10.77 	-4.76, -2.75
9870    	-0.08, -14.47 	-6.68, -10.65 	-4.76, -2.75
9952    	-0.07, -14.59 	-6.68, -10.73 	-4.76, -2.75
9969    	-0.07, -14.59 	-6.69, -10.73 	-4.76, -2.75
9985    	-0.08, -14.58 	-6.68, -10.73 	-4.76, -2.75
10001   	-0.08, -14.58 	-6.67, -10.69 	-4.76, -2.75
10026   	-0.08, -14.59 	-6.67, -10.77 	-4.76, -2.75
10107   	-0.08, -14.58 	-6.67, -10.77 	-4.76, -2.75
10123   	-0.08, -14.59 	-6.67, -10.77 	-4.76, -2.75
10139   	-0.07, -14.59 	-6.68, -10.77 	-4.76, -2.75
10155   	-0.09, -14.58 	-6.68, -10.69 	-4.76, -2.75
10172   	-0.07, -14.59 	-6.68, -10.69 	-4.76, -2.75
10255   	-0.08, -14.55 	-6.68, -10.73 	-4.76, -2.75
10271   	-0.07, -14.54 	-6.69, -10.73 	-4.76, -2.75
10287   	-0.08, -14.55 	-6.69, -10.73 	-4.76, -2.75
10311   	-0.08, -14.55 	-6.69, -10.73 	-4.76, -2.75
10327   	-0.07, -14.54 	-6.68, -10.73 	-4.76, -2.75
10343   	-0.07, -14.54 	-6.68, -10.73 	-4.76, -2.75
10425   	-0.07, -14.54 	-6.68, -10.69 	-4.76, -2.75
10442   	-0.07, -14.54 	-6.68, -10.69 	-4.76, -2.75
10462   	-0.07, -14.54 	-6.68, -10.69 	-4.76, -2.75
10478   	-0.07, -14.54 	-6.68, -10.69 	-4.76, -2.75
10494   	-0.07, -14.54 	-6.68, -10.77 	-4.76, -2.75
10573   	-0.07, -14.62 	-6.67, -10.69 	-4.76, -2.75
10590   	-0.07, -14.62 	-6.67, -10.73 	-4.76, -2.75
10606   	-0.07, -14.62 	-6.67, -10.65 	-4.76, -2.75
10622   	-0.07, -14.62 	-6.67, -10.74 	-4.76, -2.75
10638   	-0.07, -14.62 	-6.67, -10.74 	-4.76, -2.75
10721   	-0.07, -14.54 	-6.71, -10.84 	-4.76, -2.75
10738   	-0.07, -14.54 	-6.75, -10.88 	-4.76, -2.75
10754   	-0.07, -14.54 	-6.78, -10.91 	-4.76, -2.75
10770   	-0.06, -14.58 	-6.81, -11.20 	-4.76, -2.75
10786   	-0.06, -14.58 	-6.82, -11.68 	-4.76, -2.75
10868   	-0.07, -14.58 	-8.17, -15.29 	-4.76, -2.75
10885   	-0.07, -14.58 	-8.26, -15.57 	-4.76, -2.75
10905   	-0.07, -14.58 	-8.57, -17.36 	-4.76, -2.75
10921   	-0.07, -14.62 	-8.49, -22.79 	-4.76, -2.75
10993   	-0.07, -14.62 	-10.10, -24.77 	-4.76, -2.75
11009   	-0.07, -14.54 	-11.10, -24.77 	-4.76, -2.75
11025   	-0.07, -14.54 	-11.22, -25.21 	-4.76, -2.75
11041   	-0.07, -14.54 	-11.33, -25.16 	-4.76, -2.75
11058   	-0.07, -14.50 	-11.42, -24.82 	-4.76, -2.75
11141   	-0.07, -14.58 	-11.56, -14.95 	-4.76, -2.75
11157   	-0.07, -14.54 	-11.62, -15.29 	-4.76, -2.75
11173   	-0.07, -14.54 	-11.61, -15.50 	-4.76, -2.75
11229   	-0.08, -14.54 	-11.68, -14.81 	-4.76, -2.75
11244   	-0.08, -14.54 	-11.70, -14.69 	-4.76, -2.75
11259   	-0.08, -14.54 	-11.71, -14.68 	-4.76, -2.75
11274   	-0.08, -14.54 	-105.92, 342.23 	-4.76, -2.75
11290   	-0.07, -14.54 	-11.70, -14.79 	-4.76, -2.75
11371   	-0.06, -14.58 	-11.72, -14.75 	-4.76, -2.75
11387   	-0.06, -14.62 	-11.72, -14.83 	-4.76, -2.75
11403   	-0.06, -14.58 	-11.74, -14.79 	-4.76, -2.75
